Input Length,Hidden Combinations,NATM_type,NAM_activation,Dropout,R^2,RMSE,MAE,SMAPE
24,"[128, 128]",Time,linear,0.1,0.89239,15.19699,9.68379,0.23601
24,"[32, 32, 32]",Feature,linear,0.1,0.88314,15.83717,10.4008,0.26461
24,"[32, 32, 32]",Independent,linear,0.1,0.8753,16.35924,10.39274,0.26174
24,"[32, 32, 32]",Time,linear,0.1,0.90258,14.45974,8.96422,0.2303
24,"[128, 32, 32]",Feature,linear,0.1,0.90986,13.90927,8.36028,0.22004
24,"[128, 32, 32]",Independent,linear,0.1,0.88641,15.61371,10.39118,0.25638
24,"[128, 32, 32]",Time,linear,0.1,0.90126,14.55755,9.23501,0.24044
24,"[128, 128, 32]",Feature,linear,0.1,0.91089,13.82906,8.265,0.21616
24,"[128, 128, 32]",Independent,linear,0.1,0.88955,15.39642,9.85299,0.23694
24,"[128, 128, 32]",Time,linear,0.1,0.90394,14.35833,9.03768,0.2382
24,"[128, 128, 128]",Feature,linear,0.1,0.91391,13.59292,8.14707,0.21377
24,"[128, 128, 128]",Independent,linear,0.1,0.86331,17.1279,11.59916,0.25109
24,"[128, 128, 128]",Time,linear,0.1,0.90765,14.07877,8.85747,0.23355
