R2,RMSE,MAE,SMAPE,method,input_length,dataset_name,fold,num_params
0.6260804131081511,59.80506460119515,15.140442,0.07033437,Feature,16,france,1,4517
0.942150956164479,16.975074895994105,11.638363,0.06846084,DNN,8,spain,1,39685
0.6520497794988602,57.54991040392678,13.792291,0.06427872,Feature,24,france,1,6773
0.6312616784266502,59.38927048902647,20.910217,0.09768059,DNN,16,france,1,44805
0.8947486241064599,27.954273488144885,18.39117,0.14036916,Time,16,belgium,1,2124
0.8770577746385506,27.61056099780085,18.877441,0.13137655,Time,16,netherlands,1,2124
0.6179281379881667,60.49019120834282,14.995328,0.07065298,Time,8,france,1,1490
0.8924696627935036,28.33902722161061,18.63987,0.14138526,Time,8,belgium,1,1836
0.8784746833032048,27.472264955712607,18.704788,0.12985575,Time,8,netherlands,1,1836
0.6063421315153583,61.4004927326524,14.865254,0.069675565,Independent,8,france,1,10485
0.8871519100324163,30.13345155045717,24.670197,0.20720951,DNN,24,germany,1,53126
0.8972287949092788,28.790176581225147,22.425005,0.17891146,DNN,16,germany,1,46982
0.9321198081327874,23.45472804314996,17.669662,0.15901616,DNN,8,germany,1,40838
0.9561138500990144,18.81362009357557,12.814537,0.12598847,Feature,16,germany,1,4694
0.925689889946909,19.231522845247216,12.763253,0.073417,DNN,16,spain,1,44805
0.6291332344065281,59.59658488275566,22.123089,0.10264171,DNN,8,france,1,39685
0.9558301536743796,14.790264969438882,9.763225,0.061110225,Time,24,spain,1,1890
0.922967367236093,19.58849112042579,12.177318,0.069850184,LSTM,8,spain,1,328205
0.8754802428848558,27.808668099791745,18.944153,0.13177337,Feature,8,netherlands,1,2350
0.7938119125789198,70.28752334162871,53.08544,0.14521109,DNN,16,france,2,44805
0.908027122383656,21.395361053494167,13.365793,0.077123724,LSTM,16,spain,1,328205
0.9321460083122556,23.3935590699028,16.154709,0.14404954,LSTM,16,germany,1,329206
0.94408790004293,16.688469219278698,10.916908,0.06617767,Feature,8,spain,1,2261
0.7461458391819145,39.67499033898354,28.339125,0.18768896,LSTM,16,netherlands,1,329206
0.9545971445445602,19.18229042928089,13.423483,0.13410468,LSTM,8,germany,1,329206
0.8448801363478765,33.936575580181554,23.345179,0.16607957,LSTM,16,belgium,1,329206
0.9299641053687856,40.96441743872052,29.338556,0.08795918,Feature,16,france,2,4517
0.8909124528903866,28.543485961254145,18.70682,0.14216755,Feature,8,belgium,1,2350
0.7796766822249173,36.85484751231851,25.859882,0.17015767,LSTM,24,netherlands,1,329206
0.7751871226661725,37.36557612692296,26.977068,0.17670937,LSTM,8,netherlands,1,329206
0.8793793638412097,29.861686772753853,20.39816,0.15252699,LSTM,24,belgium,1,329206
0.9327815413442616,39.33808878799512,27.335379,0.13789675,Time,16,netherlands,2,2124
0.8898482074276497,26.059143874889436,18.07935,0.124042064,Time,24,netherlands,1,2412
0.6193311287037897,60.342394631334855,14.532849,0.0679317,Time,16,france,1,1690
0.9306301016679946,39.97405774960493,27.75472,0.13817632,Time,8,netherlands,2,1836
0.6528584255878391,57.48299468307453,21.643145,0.105356485,DNN,24,france,1,49925
0.935394239169492,37.47385970423666,25.681122,0.1172511,Time,16,belgium,2,2124
0.929592273374242,39.20530926308403,26.813705,0.12022519,Time,8,belgium,2,1836
0.8745888575598162,14.474037868431768,10.8544655,0.07884477,DNN,8,spain,2,39685
0.8574401308786587,32.63007511112735,21.541561,0.15588434,LSTM,8,belgium,1,329206
0.8694147573201348,55.97744732814278,41.607723,0.1131325,DNN,8,france,2,39685
0.945903215233004,16.41531929386484,10.767024,0.065347336,SCINet,8,spain,1,5888
0.9510947476940526,15.601540494319734,10.526368,0.064996205,Feature,16,spain,1,4517
0.7288539225921158,41.03578522393976,31.97814,0.20491986,DNN,8,netherlands,1,40838
0.8732025181403802,30.77334923984551,22.20049,0.1628464,DNN,8,belgium,1,40838
0.6338852080025281,59.21354281195941,14.295465,0.067550726,Feature,8,france,1,2261
0.9550496621427846,19.08645795314745,12.824273,0.12679975,Feature,8,germany,1,2350
0.917517372766208,44.48845119847467,31.590015,0.09179836,Independent,8,france,2,10485
0.8268353862569626,32.673369466059434,24.537615,0.16039838,DNN,24,netherlands,1,53126
0.922855412406436,43.02479157915454,30.380383,0.08869084,Time,8,france,2,1490
0.7910920337034197,39.29895776041252,31.09787,0.20790361,DNN,24,belgium,1,53126
0.9452083561499356,16.520408262514465,11.406551,0.06925573,Time,8,spain,1,1490
0.8829375858184767,13.991016230290422,10.380606,0.07557461,DNN,16,spain,2,44805
0.7832348143492445,36.66228038099069,27.706053,0.1789801,DNN,16,netherlands,1,46982
0.893612606997027,25.609993462254508,17.547377,0.12133497,Feature,24,netherlands,1,7038
0.923998346733176,24.72938372530933,16.893845,0.1482057,LSTM,24,germany,1,329206
